Sensor ID,Max of Sensor,Average of Sensor,Number of Exceedances,Average Max Column,Max Value,99.9th Percentile of Sensor,Max of 99.9th Percentile,8 Hour Average of Sensor,8 Hour Max
46,88.36,11.846672021128114,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.65858217499999,54.000347514194175
47,88.36,11.846638729400325,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.67358205000503,54.000347514194175
48,88.36,11.846652300650748,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.681401262518484,54.000347514194175
49,88.36,11.846386730216572,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.67424427504799,54.000347514194175
50,88.36,11.845832646438978,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.659937625098685,54.000347514194175
51,88.36,11.845356631716868,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64899834642895,54.000347514194175
52,88.36,11.845176372106506,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64366490944365,54.000347514194175
53,88.36,11.845305056138681,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64174822767356,54.000347514194175
54,88.36,11.845659063324634,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64125233475169,54.000347514194175
55,88.36,11.846328730055887,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64197866324954,54.000347514194175
56,88.36,11.84766298545039,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.6453573379401,54.000347514194175
57,88.36,11.849434709857265,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.65109081566659,54.000347514194175
58,88.36,11.850852755110433,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.65465023948419,54.000347514194175
59,88.36,11.847201279489886,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
60,88.36,11.847529910123406,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
61,88.36,11.847953577856494,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
62,88.36,11.847865761756823,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
63,88.36,11.847063918115868,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.63999999999999,54.000347514194175
64,88.36,11.846339399260646,363,88.35999999999258,88.36,81.55440000000063,81.55440000000063,52.64006652251249,54.000347514194175
