Sensor ID,Max of Sensor,Average of Sensor,Number of Exceedances,Average Max Column,Max Value,99.9th Percentile of Sensor,Max of 99.9th Percentile,8 Hour Average of Sensor,8 Hour Max
691,4.692914000000001,0.03194706958547272,363,4.265377124018264,22.22758,3.6080115840001015,17.134117640000074,0.5900715295750002,3.9236948675
692,4.59624,0.034450830995926496,363,4.265377124018264,22.22758,3.6489848260000883,17.134117640000074,0.5789470129,3.9236948675
693,4.3367379999999995,0.03616584526103346,363,4.265377124018264,22.22758,3.5524519680000726,17.134117640000074,0.5480119000874999,3.9236948675
694,3.9348080000000003,0.037021864435859274,363,4.265377124018264,22.22758,3.3190311580000573,17.134117640000074,0.49969622837500005,3.9236948675
695,1.401393,0.009414845425167025,363,4.265377124018264,22.22758,1.1375449198000245,17.134117640000074,0.17518596989000002,3.9236948675
696,1.4958639999999999,0.00955492594456847,363,4.265377124018264,22.22758,1.2132401744000263,17.134117640000074,0.18700174417499998,3.9236948675
697,1.5729940000000002,0.009714851092213919,363,4.265377124018264,22.22758,1.2768351754000278,17.134117640000074,0.19665312881250002,3.9236948675
698,1.621875,0.00984638810704074,363,4.265377124018264,22.22758,1.319921098400028,17.134117640000074,0.20277733912499998,3.9236948675
699,1.636125,0.009911093299276195,363,4.265377124018264,22.22758,1.336381398000028,17.134117640000074,0.20457532621250002,3.9236948675
700,1.604394,0.009866305458811186,363,4.265377124018264,22.22758,1.315673442800027,17.134117640000074,0.200629835025,3.9236948675
701,1.524229,0.009690756284328687,363,4.265377124018264,22.22758,1.254926846800025,17.134117640000074,0.1906344686875,3.9236948675
702,1.379839,0.009356694117597576,363,4.265377124018264,22.22758,1.1392539810000224,17.134117640000074,0.172613888875,3.9236948675
703,1.187621,0.008946016384790312,363,4.265377124018264,22.22758,0.9853949490000189,17.134117640000074,0.148617201875,3.9236948675
704,0.9645959000000001,0.00852505323284445,363,4.265377124018264,22.22758,0.8945433976000066,17.134117640000074,0.12076883237500001,3.9236948675
705,0.9293745000000001,0.008209921768636887,363,4.265377124018264,22.22758,0.8595345640000065,17.134117640000074,0.11674802526152414,3.9236948675
706,1.108222,0.008158817831194258,363,4.265377124018264,22.22758,0.8976048252000196,17.134117640000074,0.13910954583118026,3.9236948675
707,1.301956,0.008476322519962505,363,4.265377124018264,22.22758,1.052530579000023,17.134117640000074,0.1633324790412395,3.9236948675
708,1.512041,0.009207220960256692,363,4.265377124018264,22.22758,1.254391264800024,17.134117640000074,0.1896001466270421,3.9236948675
709,1.7312830000000003,0.010302425520550397,363,4.265377124018264,22.22758,1.475801862000024,17.134117640000074,0.21701325260203222,3.9236948675
710,1.9443970000000002,0.011634197196983245,363,4.265377124018264,22.22758,1.7022591820000226,17.134117640000074,0.24366108544907114,3.9236948675
711,2.127147,0.013042381979474557,363,4.265377124018264,22.22758,1.9072363440000202,17.134117640000074,0.2665139930460518,3.9236948675
712,2.249003,0.014361326261628216,363,4.265377124018264,22.22758,2.0614547820000175,17.134117640000074,0.2817554103977076,3.9236948675
713,2.2783530000000005,0.015324893713999276,363,4.265377124018264,22.22758,2.121000288000015,17.134117640000074,0.2854336140060743,3.9236948675
714,2.19654,0.01581562391834571,363,4.265377124018264,22.22758,2.068686306000012,17.134117640000074,0.2752161781211254,3.9236948675
715,2.0076169999999998,0.015903567827273705,363,4.265377124018264,22.22758,1.9171488560000083,17.134117640000074,0.251609218366552,3.9236948675
716,1.8876200000000003,0.015708728527372918,363,4.265377124018264,22.22758,1.8302687020000055,17.134117640000074,0.2359525005391744,3.9236948675
717,2.202305,0.015461106512923114,363,4.265377124018264,22.22758,1.9688218780000217,17.134117640000074,0.2752881256148625,3.9236948675
718,2.4450380000000003,0.015332018133047956,363,4.265377124018264,22.22758,2.1319832960000293,17.134117640000074,0.30562975069332216,3.9236948675
719,2.5818689999999997,0.015243193639687751,363,4.265377124018264,22.22758,2.25854001200003,17.134117640000074,0.32273362577277687,3.9236948675
